Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
DES,Cookie,R-48938,DES|Cookie|Valentine Heart,OK - GRAB & GO,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-39451,DES|Cookie|Wendel's|Almond,OK - GRAB & GO,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-45849,DES|Cookie|Wendel's|Almond.,OK - GRAB & GO,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-29808,DES|Cookie|Wendel's|Choc Chip,OK - GRAB & GO,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-52512,DES|Cookie|Wendel's|Ginger,OK - GRAB & GO,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-48895,DES|Cookie|Xmas|Ginger Bear,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-41024,DES|Cookie|Xmas|Ginger People,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-48026,DES|Cookie|Xmas|Ginger People.,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-54070,DES|Cookie|Xmas|Gingerbrd Peep,OK - GRAB & GO,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-41027,DES|Cookie|Xmas|Gingersnap,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
