Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
BEV,Milk,R-38167,BEV|Milk|237ml|Skim,BEVERAGE,231.00023100023097,515.7080157080156,4.527604527604527,0.4735504735504504,45.58,2258.35,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-38166,BEV|Milk|473 ml|2%,BEVERAGE,462.00046200046194,1031.4160314160313,9.055209055209057,0.9471009471009008,91.15,4516.7,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-38539,BEV|Milk|473 ml|2%|Promo,BEVERAGE,462.00046200046194,1031.4160314160313,9.055209055209057,0.9471009471009008,91.15,4516.7,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-49834,BEV|Milk|473 ml|Chocolate,BEVERAGE,1.0,2.2325,0.0196,0.0020499999999999,0.2,9.78,223.25,1.96,20.0,978.0,0.2,Yellow,Yellow
BEV,Milk,R-38540,BEV|Milk|473 ml|Chocolate|Prom,BEVERAGE,1.0,2.2325,0.0196,0.0020499999999999,0.2,9.78,223.25,1.96,20.0,978.0,0.2,Yellow,Yellow
BEV,Milk,R-61300,BEV|Milk|Almond Breeze|Vanilla,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Milk,R-13574,BEV|Milk|Almond|Asst,BEVERAGE,125.5,89.9052,0.3873499999999999,0.06596,57.89,4107.32,71.64,0.31,46.13,3272.76,0.05,Green,Yellow
BEV,Milk,R-55804,BEV|Milk|Almond|Chocolate,BEVERAGE,250.0,175.52499999999998,0.7625,0.125,113.96,8085.27,70.21,0.3,45.58,3234.11,0.05,Green,Yellow
BEV,Milk,R-62932,BEV|Milk|AlmondBreeze|Choco,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Milk,R-62933,BEV|Milk|AlmondBreeze|Vanilla,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Milk,R-13192,BEV|Milk|Bulk|Chocolate 12oz,BEVERAGE,354.882,792.274065,6.955687200000001,0.7275080999999646,70.02,3469.47,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-13191,BEV|Milk|Bulk|White 12oz,BEVERAGE,343.866,767.680845,6.7397736,0.7049252999999657,67.84,3361.77,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-62934,BEV|Milk|Oat|Chocolate,BEVERAGE,1.0,0.9943,0.00068,0.00077,0.07,2.45,99.43,0.07,7.0,245.0,0.08,Green,Green
BEV,Milk,R-62935,BEV|Milk|Oat|Vanilla,BEVERAGE,1.0,0.9943,0.00068,0.00077,0.07,2.45,99.43,0.07,7.0,245.0,0.08,Green,Green
BEV,Milk,R-14388,BEV|Milk|Rice|Asst,BEVERAGE,1.0,2.5345,0.0053,0.00217,1.57,4.63,253.45,0.53,157.0,463.0,0.22,Yellow,Green
